Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224229' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE114	PINXTON-BARLBORO BHW357	N/A	undefined	29.26	1964	445272	366357	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224191' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE87	TROWELL/BARLBOROUGH (M1) 608	N/A	undefined	6.1	1963	445330	366360	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224228' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE113	PINXTON-BARLBORO BHW356	N/A	undefined	5.79	1964	445243	366362	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224231' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE116	PINXTON-BARLBORO BHW359B	N/A	undefined	9.45	1965	445249	366401	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754027' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW152	PINXTON-BARLBORO BHW188	N/A	undefined	20.12	1965	444979	366418	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224230' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE115	PINXTON-BARLBORO BHW358	N/A	undefined	10.67	1965	445277	366428	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224233' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE118	PINXTON-BARLBORO BHW362	N/A	undefined	9.75	1965	445295	366439	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224232' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE117	PINXTON-BARLBORO BHW361	N/A	undefined	10.06	1965	445252	366440	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754029' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW154	PINXTON-BARLBORO BHW418	N/A	undefined	16.76	1965	444480	366448	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754028' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW153	PINXTON-BARLBORO BHW417	N/A	undefined	14.02	1965	444422	366471	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754030' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW155	PINXTON-BARLBORO BHW419	N/A	undefined	16.76	1965	444501	366471	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754031' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW156	PINXTON-BARLBORO BHW420	N/A	undefined	10.67	1965	444632	366484	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224235' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE120	PINXTON-BARLBORO BHW364	N/A	undefined	9.14	1965	445298	366500	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224234' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE119	PINXTON-BARLBORO BHW363	N/A	undefined	9.14	1965	445252	366501	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224236' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE121	PINXTON-BARLBORO BHW371	N/A	undefined	12.19	1965	445284	366547	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224237' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE122	PINXTON-BARLBORO BHW372	N/A	undefined	10.06	1965	445275	366581	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224238' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE123	PINXTON-BARLBORO BHW373	N/A	undefined	11.89	1965	445306	366589	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913887' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE184	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1223	N/A	undefined	19.5	2006	445319	366641	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913878' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE175	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1223	N/A	undefined	7.86	2006	445319	366642	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224239' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE124	PINXTON-BARLBORO BHW374	N/A	undefined	10.97	1965	445292	366646	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224240' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE125	PINXTON-BARLBORO BHW375	N/A	undefined	10.97	1965	445314	366654	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224206' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/L	TROWELL/BARLBOROUGH (M1) 612L	N/A	undefined	6	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224203' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/G	TROWELL/BARLBOROUGH (M1) 612G	N/A	undefined	9	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224205' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/K	TROWELL/BARLBOROUGH (M1) 612K	N/A	undefined	12	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224199' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/C	TROWELL/BARLBOROUGH (M1)612C	N/A	undefined	15	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224202' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/F	TROWELL/BARLBOROUGH (M1) 612F	N/A	undefined	10	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224204' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/J	TROWELL/BARLBOROUGH (M1) 612J	N/A	undefined	10	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224200' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/D	TROWELL/BARLBOROUGH (M1) 612D	N/A	undefined	15	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224201' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/E	TROWELL/BARLBOROUGH (M1) 612E	N/A	undefined	5	1963	445330	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224190' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE86	TROWELL/BARLBOROUGH (M1) 607	N/A	undefined	6.1	1963	445350	366310	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913889' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE185	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1224	N/A	undefined	23.6	2006	445359	366814	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913879' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE176	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1224	N/A	undefined	9.2	2006	445360	366815	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224171' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE67	TROWELL/BARLBOROUGH (M1) 613A	N/A	undefined	21.34	1963	445360	367120	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530226' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE219	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D96A	N/A	undefined	0.75	1999	445361	367213	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224248' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE133	PINXTON-BARLBORO BHW380D	N/A	undefined	14.02	1965	445361	366720	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224247' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE132	PINXTON-BARLBORO BHW380C	N/A	undefined	14.02	1965	445361	366767	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224256' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE141	PINXTON-BARLBORO BHW427	N/A	undefined	33.83	1964	445375	366954	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224194' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE90/A	TROWELL/BARLBOROUGH (M1) 611A	N/A	undefined	12	1963	445380	366550	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224195' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE90/B	TROWELL/BARLBOROUGH (M1) 611B	N/A	undefined	12	1963	445380	366550	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224196' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE90/C	TROWELL/BARLBOROUGH (M1) 611C	N/A	undefined	15	1963	445380	366550	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224189' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE85	TROWELL/BARLBOROUGH (M1) 606	N/A	undefined	6.1	1963	445390	366290	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19530227' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE220	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D96B	N/A	undefined	3	1999	445401	367208	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511266' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE202	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M43	N/A	undefined	12.35	1999	445402	367230	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224172' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE68	TROWELL/BARLBOROUGH (M1) 614C/B/A	N/A	undefined	6.1	1963	445410	367560	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913880' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE177	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1226	N/A	undefined	8.59	2006	445434	367295	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913891' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE187	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1226	N/A	undefined	19.5	2006	445434	367296	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224118' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE14	RAMCROFT COLLIERY 1	SK46/82	undefined	29.26	1947	445555	367502	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224098' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE5/A	RAMCROFT COLLIERY SHAFT 1	SK46/43	undefined	138.17	1940	445752	367513	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224261' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE146	PINXTON-BARLBORO BHW435	N/A	undefined	16.76	1965	445781	366603	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224193' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE89	"TROWELL/BARLBOROUGH (M1) 610A,B,C"	N/A	undefined	9.14	1963	445800	366470	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224198' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/B	TROWELL/BARLBOROUGH (M1) 612B	N/A	undefined	11	1963	445830	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224197' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE91/A	TROWELL/BARLBOROUGH (M1) 612A	N/A	undefined	30	1963	445830	366660	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224259' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE144	PINXTON-BARLBORO BHW436	N/A	undefined	15.24	1965	445984	366418	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224095' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE2	STOCKLEY FARM	N/A	undefined	79.55	1965	446364	367633	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224132' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE28	GLAPWELL COLLIERY U/G 6	N/A	undefined	66.14	1964	446483	367075	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224107' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE6/C	GLAPWELL COLLIERY 3	SK46/17C	undefined	601.28	null	446520	366750	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224106' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE6/B	GLAPWELL COLLIERY 2	SK46/17B	undefined	621.7	1882	446530	366600	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224105' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE6/A	GLAPWELL COLLIERY 1	SK46/17A	undefined	265.78	1882	446570	366560	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/224126' class= 'bodyLink' target='_blank'>Scan</a>	SK46NE22	BRAMLEY VALE DRIFT 1	SK46/12	undefined	57.91	null	446700	366340	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753895' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW20	OWLCOTE FARM	SK46/39	undefined	152.4	1972	444060	367895	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754033' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW158	PINXTON-BARLBORO BHW430B	N/A	undefined	16.76	1965	444227	367218	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754032' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW157	PINXTON-BARLBORO BHW430A	N/A	undefined	16.76	1965	444301	367260	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753995' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW120	HOLMEWOOD INDUSTRIAL PK 8	N/A	undefined	4	1980	444360	366350	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/754034' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW159	PINXTON-BARLBORO BHW431	N/A	undefined	16.76	1965	444388	367267	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913839' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW133	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1203	N/A	undefined	7.04	2006	444819	360670	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913841' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW135	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1203	N/A	undefined	14.5	2006	444819	360670	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657176' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW35	TROWELL/BARLBOROUGH (M1) 580	N/A	undefined	36.58	1963	444870	360680	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657177' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW36	TROWELL/BARLBOROUGH (M1) 581	N/A	undefined	24.38	1963	444850	360770	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657178' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW37	TROWELL-BARLBORO BH582	N/A	undefined	9.14	1963	444890	360810	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913845' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW139	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 TP OP1206	N/A	undefined	1.2	2006	444818	360878	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913844' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW138	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 TP OP1205	N/A	undefined	1.2	2006	444812	360879	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657179' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW38	TROWELL/BARLBOROUGH (M1) 583	N/A	undefined	3.66	1963	444880	360880	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657181' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW39/B	TROWELL/BARLBOROUGH (M1) 584B	N/A	undefined	27.43	1963	444870	360920	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657180' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW39/A	TROWELL/BARLBOROUGH (M1) 584A	N/A	undefined	30.48	1963	444870	360920	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529811' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW146	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D82A	N/A	undefined	2.3	1999	444837	361027	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529812' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW147	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D82B	N/A	undefined	1.4	1999	444876	361029	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511286' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW140	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M25	N/A	undefined	17.5	1999	444841	361048	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913842' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW136	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1207	N/A	undefined	15	2006	444939	361236	not Entered	null
<a href='https://shop.bgs.ac.uk/Shop/Department/GeoRecords' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords.</a>	SK46SW109	M1 ABNORMAL LOAD SITE 1/1R	N/A	undefined	Confidential	2000	444936	361248	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657182' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW40/A	TROWELL/BARLBOROUGH (M1) 585A	N/A	undefined	18.28	1963	444920	361260	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657183' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW40/B	TROWELL/BARLBOROUGH (M1) 585B	N/A	undefined	19.81	1963	444920	361260	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657184' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW41	TROWELL/BARLBOROUGH (M1) P586	N/A	undefined	36.58	1963	444870	361300	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529814' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW149	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D83B	N/A	undefined	0.4	1999	444964	361531	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529813' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW148	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D83A	N/A	undefined	0.8	1999	444923	361537	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913843' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW137	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1208	N/A	undefined	15	2006	444908	361567	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657187' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW42/C	TROWELL/BARLBOROUGH (M1) P587C	N/A	undefined	1.21	1963	444970	361710	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657186' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW42/B	TROWELL/BARLBOROUGH (M1) P587B	N/A	undefined	30.48	1963	444970	361710	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657185' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW42/A	TROWELL/BARLBOROUGH (M1) P587A	N/A	undefined	15.24	1963	444970	361710	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657190' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW45	PINXTON-BARLBORO BHW260	N/A	undefined	16.76	null	444966	361726	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657188' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW43	PINXTON-BARLBORO BHW262	N/A	undefined	16.76	null	444978	361774	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/748334' class= 'bodyLink' target='_blank'>Scan</a>	SK46SE127	PINXTON-BARLBORO BHW264	N/A	undefined	13.72	1964	445003	361816	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/657189' class= 'bodyLink' target='_blank'>Scan</a>	SK46SW44	PINXTON-BARLBORO BHW266	N/A	undefined	16.76	null	444997	361852	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913833' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW393	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1198	N/A	undefined	28	2006	444982	359135	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913825' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW385	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1198	N/A	undefined	7.32	2006	444982	359136	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223163' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE80	HIGHAM/WHITEBOROUGH BH33	N/A	undefined	4	1982	445040	359200	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223164' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE81	HIGHAM/WHITEBOROUGH BH34	N/A	undefined	4	1982	445090	359360	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223192' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE102	TROWELL-BARLBORO BH574	N/A	undefined	12.19	1963	445010	359400	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529346' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW415	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D79A	N/A	undefined	0.5	1999	444965	359491	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529333' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE343	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D79B1	N/A	undefined	0.4	1999	445007	359509	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19528900' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE342	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D79B	N/A	undefined	2.1	1999	445007	359509	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223165' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE82	HIGHAM/WHITEBOROUGH BH35	N/A	undefined	5	1982	445250	359550	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913834' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW394	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1199	N/A	undefined	15	2006	444946	359585	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223193' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE103	TROWELL-BARLBORO BH575	N/A	undefined	6.1	1963	445020	359650	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223166' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE83	HIGHAM/WHITEBOROUGH BH36	N/A	undefined	6	1982	445330	359740	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511257' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW402	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M47A	N/A	undefined	16	1999	444974	359794	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913835' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW395	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1200	N/A	undefined	15	2006	444972	359822	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913826' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW386	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 CP1200	N/A	undefined	5.58	2006	444971	359823	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223194' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE104	TROWELL-BARLBORO BH576	N/A	undefined	12.19	1963	445000	359840	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223167' class= 'bodyLink' target='_blank'>Scan</a>	SK45NE84	HIGHAM/WHITEBOROUGH BH37	N/A	undefined	5	1982	445370	359850	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/223553' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW238	TROWELL/BARLBOROUGH 577	N/A	undefined	12.19	1963	444980	359850	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19529347' class= 'bodyLink' target='_blank'>Scan</a>	SK45NW416	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D80A	N/A	undefined	3	1999	444905	359919	not Entered	null
