Record	REFERENCE	NAME	WATER_WELL_REF	Precision	LENGTH	YEAR_KNOWN	EASTING	NORTHING	SCAN_QUALITY	AGS_LOG_URL
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753891' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW16	BOLSOVER COLLIERY (NO.11) UG DOWNBORE	N/A	undefined	57	1968	444542	369642	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511302' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW348	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D102A	N/A	undefined	1.7	1999	444815	369772	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913965' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW329	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1233	N/A	undefined	21	2007	444878	369785	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511303' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW349	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D102B	N/A	undefined	1	1999	444852	369787	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511299' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW345	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M32	N/A	undefined	12	1999	444850	369790	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511300' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW346	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE M41	N/A	undefined	13	1999	444845	369803	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753897' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW22	ARKWRIGHT COLLIERY NO.2 UGBH SEE BH25	N/A	undefined	Unknown	1962	444909	369968	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/753900' class= 'bodyLink' target='_blank'>Scan</a>	SK46NW25	ARKWRIGHT COLLIERY NO.2 UG/BH PROB SAMW AS BH22 GR	N/A	undefined	26.82	1962	444907	369995	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913670' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW335	A6182/M1 JUNCTION 29A PHASE 2 MARKHAM EMPLOYMENT GOWTH ZONE	N/A	undefined	4	2007	444743	370003	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/767628' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW137	LONDON-YKS M'WAY BH603	N/A	undefined	6.1	1963	444750	370080	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511307' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW351	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D103A	N/A	undefined	3	1999	444691	370205	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/19511308' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW352	NOTTINGHAMSHIRE/DERBYSHIRE COA NMCS2 UPGRADE D103B	N/A	undefined	3	1999	444728	370207	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913903' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW340	M1 WIDENING JUNCTION 21-30 PRELIMINARY GI CONTRACT 2 RC1234	N/A	undefined	15	2006	444665	370322	not Entered	null
<a href='https://api.bgs.ac.uk/sobi-scans/v1/borehole/scans/items/18913668' class= 'bodyLink' target='_blank'>Scan</a>	SK47SW333	A6182/M1 JUNCTION 29A PHASE 2 MARKHAM EMPLOYMENT GOWTH ZONE	N/A	undefined	20.5	2007	444659	370364	not Entered	null
